source_file,source_url,type,status,status_code,href,resolved_url
districts\arlington-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/arlington-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/arlington-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
districts\arlington-isd\leadership-directory.html,https://www.texasspecialed.com/districts/arlington-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/arlington-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\austin-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/austin-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/austin-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\austin-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/austin-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/austin-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\austin-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/austin-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/austin-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
districts\austin-isd\leadership-directory.html,https://www.texasspecialed.com/districts/austin-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/austin-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\bastrop-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/bastrop-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/bastrop-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\bastrop-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/bastrop-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/bastrop-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\bastrop-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/bastrop-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/bastrop-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
districts\bastrop-isd\leadership-directory.html,https://www.texasspecialed.com/districts/bastrop-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/bastrop-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\beaumont-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/beaumont-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/beaumont-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\beaumont-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/beaumont-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/beaumont-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
districts\beaumont-isd\evaluation-child-find.html,https://www.texasspecialed.com/districts/beaumont-isd/evaluation-child-find,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/beaumont-isd/evaluation-child-find/YOUR_STRIPE_LINK_HERE
districts\beaumont-isd\leadership-directory.html,https://www.texasspecialed.com/districts/beaumont-isd/leadership-directory,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/beaumont-isd/leadership-directory/YOUR_STRIPE_LINK_HERE
districts\belton-isd\ard-process-guide.html,https://www.texasspecialed.com/districts/belton-isd/ard-process-guide,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/belton-isd/ard-process-guide/YOUR_STRIPE_LINK_HERE
districts\belton-isd\dyslexia-services.html,https://www.texasspecialed.com/districts/belton-isd/dyslexia-services,internal,MISSING FILE,,YOUR_STRIPE_LINK_HERE,https://www.texasspecialed.com/districts/belton-isd/dyslexia-services/YOUR_STRIPE_LINK_HERE
